type,dropout,l2,epsilon,test_score
optuna,0.0262762650340566,0.0001670971324329,0.0278848392974865,"[1.2, 1.7, 2.4, 2.9, 3.5, 3.1, 3.1, 3.8, 2.9, 3.2, 3.7, 2.5, 3.8, 3.3, 4.3, 3.4, 4.2, 4.2, 3.1, 3.7, 4.7, 4.2, 3.5, 4.3, 3.4, 4.0, 4.4, 3.3, 4.1, 3.6, 3.7, 3.4, 3.9, 3.1, 3.3, 5.3, 4.6, 4.0, 4.1, 4.0, 4.6, 4.7, 4.9, 5.1, 5.1, 5.3, 5.4, 4.6, 4.9, 5.0, 4.0, 4.5, 5.1, 4.7, 5.3, 4.9, 5.5, 5.2, 5.1, 5.4, 5.9, 4.0, 6.1, 4.4, 4.4, 5.1, 5.5, 4.6, 6.0, 5.3, 5.2, 5.5, 4.2, 5.4, 5.3, 5.5, 5.2, 5.5, 4.7, 5.2, 5.5, 5.4, 5.8, 4.7, 6.0, 5.7, 5.8, 5.7, 5.2, 5.5, 6.3, 5.4, 6.1, 6.5, 6.1, 5.9, 6.2, 6.0, 5.8, 6.2, 6.4, 5.3, 6.2, 6.9, 6.3, 6.1, 5.9, 5.3, 6.5, 6.7, 5.9, 6.2, 6.3, 5.3, 5.4, 5.9, 5.6, 5.3, 6.4, 6.5, 5.5, 6.1, 3.9, 6.5, 5.8, 6.1, 6.0, 6.7, 6.0]"
optuna,0.0459857570327352,0.000327790535115,0.051887442777694,"[1.2, 2.6, 2.5, 2.5, 3.5, 2.5, 3.8, 3.3, 2.3, 3.5, 3.6, 3.2, 3.6, 3.6, 3.5, 3.2, 2.7, 4.0, 3.9, 3.9, 2.7, 3.7, 4.0, 3.0, 3.1, 4.0, 3.2, 4.3, 2.9, 3.9, 4.1, 4.8, 5.0, 3.7, 3.3, 2.4, 3.9, 4.6, 3.5, 4.6, 4.2, 5.2, 4.1, 4.4, 3.6, 4.2, 3.3, 3.9, 4.9, 3.8, 4.0, 3.6, 3.7, 4.4, 5.0, 4.0, 4.4, 4.2, 4.5, 4.6, 3.8, 4.0, 5.4, 3.6, 5.1, 4.3, 4.2, 3.3, 4.0, 5.1, 4.5, 5.2, 3.9, 4.5, 4.3, 5.0, 4.3, 4.6, 4.3, 3.5, 5.0, 4.9, 4.8, 4.6, 4.6, 4.7, 4.4, 4.2, 4.4, 4.7, 4.4, 5.5, 4.6, 3.9, 4.8, 5.4, 5.5, 5.2, 4.7, 4.8, 5.3, 4.3, 4.8, 4.8, 4.6, 5.6, 4.3, 5.3, 4.4, 4.2, 4.6, 4.8, 5.1, 5.1, 4.5, 5.0, 3.5, 5.0, 4.2, 5.7, 4.8, 4.4, 4.8, 4.6, 4.0, 5.2, 4.4, 3.7, 4.5]"
bayes,0.0262680982639579,0.0009763244320287,0.0733081738137792,"[0.8, 1.8, 2.9, 3.0, 3.1, 3.1, 2.9, 2.9, 3.4, 2.4, 3.0, 3.4, 2.7, 2.4, 4.1, 2.5, 3.2, 2.6, 3.2, 3.0, 3.1, 4.1, 3.6, 4.2, 3.0, 3.3, 3.9, 4.4, 3.9, 3.1, 3.8, 3.4, 2.8, 3.8, 3.4, 3.7, 3.2, 3.2, 3.1, 4.1, 4.4, 5.0, 4.5, 4.5, 3.9, 3.5, 3.7, 2.5, 3.8, 4.5, 3.7, 4.4, 3.2, 3.9, 4.0, 3.2, 4.5, 3.6, 4.2, 3.3, 4.1, 3.9, 4.0, 4.1, 4.9, 5.5, 3.3, 4.7, 3.7, 3.3, 3.8, 3.8, 5.1, 3.0, 4.1, 3.8, 2.7, 3.2, 3.8, 4.9, 4.2, 4.5, 4.5, 3.3, 3.3, 3.6, 4.6, 4.8, 2.8, 4.6, 3.9, 4.2, 4.0, 4.6, 2.9, 4.2, 3.1, 4.4, 3.7, 4.7, 4.8, 4.0, 4.3, 3.6, 3.8, 4.4, 4.2, 4.0, 4.3, 3.9, 3.8, 4.9, 3.1, 3.7, 3.5, 3.8, 3.3, 3.1, 3.9, 2.8, 4.1, 3.7, 3.6, 3.9, 4.7, 4.0, 4.0, 4.5, 4.0]"
bayes,0.0116158952456466,0.000392412317948,0.0628872678360172,"[1.7, 3.0, 2.2, 3.4, 3.0, 3.2, 3.2, 3.0, 3.8, 3.8, 3.3, 2.3, 3.4, 2.9, 3.1, 3.0, 4.6, 4.5, 3.2, 3.4, 2.4, 3.9, 4.4, 3.8, 3.4, 4.1, 4.2, 3.5, 3.1, 3.4, 3.3, 2.8, 3.6, 4.5, 4.2, 2.8, 4.4, 3.7, 4.9, 4.4, 4.2, 3.7, 3.7, 3.5, 4.8, 4.3, 5.1, 3.8, 5.4, 4.5, 4.6, 5.3, 4.2, 4.4, 4.0, 4.3, 4.7, 4.3, 4.3, 3.7, 4.8, 4.9, 4.1, 4.1, 4.9, 5.0, 5.6, 5.1, 4.8, 4.5, 5.2, 5.6, 5.6, 4.1, 5.3, 5.5, 5.1, 5.7, 3.6, 4.8, 5.4, 5.5, 5.2, 5.7, 5.1, 5.3, 5.6, 4.1, 5.4, 6.2, 4.7, 5.3, 6.1, 5.8, 4.3, 5.7, 4.1, 5.5, 4.0, 6.0, 4.6, 5.1, 5.7, 5.9, 5.3, 5.1, 5.1, 6.1, 5.7, 5.5, 5.3, 5.4, 6.0, 5.6, 5.6, 5.3, 4.3, 5.3, 5.8, 4.6, 5.2, 5.2, 5.9, 5.9, 5.9, 4.0, 4.6, 5.4, 4.7]"
bayes,0.0125932868409264,0.0009837131190922,0.0443781643776483,"[1.3, 1.9, 2.4, 2.8, 2.7, 2.8, 2.8, 2.5, 2.3, 3.4, 2.8, 2.5, 2.7, 2.4, 3.6, 4.1, 3.4, 3.6, 4.1, 3.8, 3.7, 3.3, 4.5, 5.1, 3.6, 3.9, 4.6, 3.1, 3.5, 3.0, 3.3, 3.7, 4.3, 3.6, 2.9, 2.8, 3.8, 4.3, 3.5, 4.4, 3.6, 3.2, 4.0, 3.3, 3.4, 3.4, 3.7, 4.4, 3.7, 3.9, 4.1, 5.1, 4.1, 3.5, 4.7, 3.6, 3.4, 3.8, 4.5, 3.1, 4.6, 4.3, 4.7, 3.3, 4.7, 4.0, 3.9, 4.2, 3.2, 4.1, 3.9, 4.6, 3.8, 4.1, 4.4, 3.8, 3.3, 3.6, 4.7, 3.8, 3.4, 4.6, 5.1, 4.9, 3.8, 4.5, 3.8, 4.9, 4.5, 3.5, 4.6, 3.1, 3.9, 5.3, 4.3, 3.6, 4.5, 4.8, 4.4, 3.7, 5.1, 4.3, 5.1, 4.1, 4.9, 4.2, 5.2, 4.4, 4.5, 3.4, 4.4, 4.3, 3.6, 4.5, 3.9, 3.1, 4.1, 4.5, 4.0, 3.8, 4.6, 4.3, 5.2, 3.0, 4.5, 3.5, 3.9, 4.5, 5.0]"
bayes,0.0789768783681879,0.0007961773900337,0.0361900310845013,"[1.9, 1.6, 3.0, 2.2, 3.1, 3.1, 3.4, 3.4, 3.8, 3.6, 3.8, 3.8, 2.7, 3.0, 3.6, 4.1, 4.0, 3.7, 4.1, 3.9, 3.7, 2.9, 3.7, 4.8, 3.9, 4.2, 4.4, 4.8, 3.9, 4.0, 3.3, 4.3, 3.7, 4.3, 4.4, 3.9, 5.4, 4.1, 3.4, 5.1, 5.3, 4.4, 3.9, 4.8, 3.9, 4.9, 4.1, 4.5, 4.4, 4.9, 3.9, 5.2, 3.9, 4.2, 3.6, 4.3, 4.7, 3.8, 4.8, 5.8, 4.3, 4.1, 3.3, 2.8, 4.3, 3.4, 3.3, 4.0, 4.1, 3.5, 3.0, 4.6, 3.4, 4.5, 3.8, 4.2, 4.7, 3.5, 4.0, 4.7, 3.3, 5.0, 3.9, 3.9, 2.8, 3.7, 4.3, 4.3, 3.8, 4.0, 4.3, 3.3, 4.2, 4.0, 3.6, 3.9, 4.1, 3.9, 4.5, 3.9, 3.5, 4.0, 3.3, 2.3, 4.0, 2.9, 3.0, 2.9, 3.8, 2.6, 3.4, 4.1, 4.3, 4.1, 3.6, 3.4, 3.3, 4.1, 3.5, 4.2, 4.3, 2.7, 4.0, 5.0, 4.2, 4.3, 3.7, 2.5, 3.9]"
bayes,0.0416687835631427,0.0005884155468292,0.0760411602032052,"[1.9, 2.6, 2.2, 3.2, 2.6, 3.5, 2.8, 2.9, 2.9, 3.6, 3.8, 2.2, 2.4, 3.6, 3.3, 3.2, 3.4, 3.6, 3.9, 3.2, 3.1, 3.2, 3.6, 3.4, 4.0, 2.9, 3.9, 2.7, 3.2, 3.1, 3.1, 3.0, 2.8, 4.6, 4.2, 2.8, 3.8, 4.4, 3.7, 3.9, 3.0, 3.8, 3.9, 3.3, 3.4, 3.4, 3.7, 4.1, 4.1, 3.8, 4.4, 4.7, 3.6, 4.6, 3.6, 5.5, 4.9, 3.2, 5.1, 3.5, 3.7, 3.7, 4.6, 4.8, 3.9, 3.5, 4.9, 4.8, 3.9, 3.4, 4.6, 4.5, 3.5, 3.8, 3.8, 4.3, 3.4, 3.9, 4.6, 3.8, 4.7, 4.8, 2.5, 3.5, 4.1, 3.7, 4.0, 3.9, 4.6, 4.4, 4.2, 4.0, 4.0, 4.4, 4.2, 4.6, 3.4, 4.6, 4.8, 4.1, 4.8, 3.9, 4.6, 4.2, 5.1, 4.5, 3.8, 4.9, 4.8, 4.9, 5.5, 5.2, 3.7, 4.1, 4.5, 4.2, 3.1, 3.4, 3.8, 4.1, 4.7, 4.3, 3.6, 3.9, 4.0, 4.4, 3.9, 4.4, 4.2]"
bayes,0.0188620597020989,0.0002952854763339,0.0670548639302074,"[0.9, 2.3, 3.3, 3.1, 2.1, 3.7, 3.5, 3.8, 3.1, 2.9, 3.7, 3.5, 4.5, 3.5, 3.5, 2.4, 3.8, 3.2, 3.4, 3.3, 3.1, 3.0, 3.8, 3.9, 3.9, 3.6, 4.3, 2.8, 3.6, 3.5, 4.4, 3.4, 3.7, 4.0, 3.9, 3.8, 3.7, 3.4, 3.7, 4.4, 4.7, 5.0, 4.3, 4.2, 3.7, 4.2, 5.4, 4.8, 4.1, 4.6, 4.1, 4.9, 4.9, 5.4, 4.7, 4.7, 3.9, 4.6, 4.5, 4.5, 4.1, 4.0, 5.6, 4.1, 3.6, 5.3, 4.4, 5.4, 4.4, 5.6, 4.8, 4.2, 4.5, 5.3, 5.1, 5.0, 5.7, 5.7, 5.9, 5.5, 4.6, 5.2, 5.5, 5.0, 5.1, 3.9, 4.5, 5.0, 5.5, 4.9, 5.2, 5.3, 4.5, 4.8, 5.3, 5.1, 5.5, 5.4, 5.2, 5.4, 4.5, 4.6, 4.7, 5.3, 5.2, 5.6, 5.6, 5.7, 4.8, 4.7, 5.5, 4.8, 6.2, 5.0, 4.4, 5.3, 5.7, 4.8, 6.1, 5.4, 5.8, 4.9, 4.8, 4.6, 5.7, 5.7, 6.4, 5.8, 4.7]"
bayes,0.0500148613110641,0.0001867829903919,0.0413728160123234,"[1.3, 2.2, 2.7, 2.6, 4.0, 3.1, 3.1, 3.3, 3.2, 3.7, 3.8, 2.9, 3.4, 4.0, 4.1, 4.2, 3.5, 3.5, 3.5, 4.4, 4.4, 3.8, 3.6, 3.6, 4.1, 4.5, 4.1, 4.1, 4.3, 4.2, 3.8, 4.1, 3.4, 4.3, 4.6, 4.1, 4.3, 4.7, 5.3, 5.2, 3.9, 3.8, 4.3, 4.7, 3.6, 3.9, 4.2, 4.5, 5.1, 4.7, 6.3, 5.7, 6.2, 5.0, 3.9, 4.9, 4.6, 5.2, 5.2, 4.6, 4.4, 5.7, 4.1, 4.7, 5.0, 5.8, 4.9, 5.3, 5.4, 4.6, 4.8, 4.9, 4.9, 5.2, 5.5, 5.1, 5.6, 4.2, 5.0, 5.3, 5.5, 5.5, 6.1, 4.9, 5.0, 5.2, 5.7, 5.5, 5.6, 4.7, 5.8, 5.6, 5.7, 6.2, 5.6, 6.6, 6.0, 5.9, 5.8, 5.3, 5.7, 5.3, 5.0, 5.6, 5.9, 4.2, 6.2, 5.5, 5.8, 4.1, 5.3, 5.7, 6.3, 5.2, 5.7, 5.8, 5.7, 4.9, 5.3, 5.1, 5.5, 5.5, 6.1, 4.3, 5.1, 5.6, 5.3, 6.8, 5.4]"
bayes,0.0199996039969893,0.0005363824095512,0.0832538332364915,"[1.2, 2.1, 2.9, 2.1, 3.4, 2.8, 3.2, 4.1, 3.3, 2.4, 3.1, 3.1, 2.9, 4.0, 3.1, 3.6, 4.0, 3.1, 3.1, 3.0, 3.1, 2.9, 3.6, 3.8, 3.4, 3.7, 4.1, 3.9, 3.8, 3.8, 4.3, 4.6, 3.7, 4.4, 3.9, 3.6, 4.7, 3.6, 4.0, 3.4, 3.7, 4.5, 4.1, 3.5, 3.0, 4.6, 4.7, 3.3, 3.4, 4.8, 3.2, 4.8, 2.8, 3.8, 3.7, 3.8, 4.4, 3.5, 4.8, 4.3, 4.7, 4.4, 4.3, 4.3, 4.7, 3.9, 3.8, 4.1, 4.4, 4.4, 3.9, 4.4, 4.4, 3.8, 5.4, 3.1, 4.7, 4.2, 4.6, 4.6, 4.7, 4.3, 4.1, 4.9, 4.2, 4.5, 4.1, 4.2, 4.4, 4.7, 4.9, 4.7, 4.1, 4.1, 4.6, 4.0, 4.7, 4.3, 4.9, 5.1, 3.8, 4.5, 4.9, 4.4, 4.8, 4.3, 4.6, 4.5, 4.5, 4.8, 4.2, 4.5, 5.0, 5.4, 3.7, 4.6, 4.7, 5.1, 5.0, 4.3, 4.5, 4.2, 4.0, 4.3, 4.2, 5.3, 4.9, 3.9, 4.3]"
