,eplenmean,eprew,fps,total_timesteps,policy_loss,value_loss,policy_entropy,approxkl,clipfrac,l2_loss,train_score
0,141.85,2.7,1102,16384.0,-0.00036666868,0.12158833,1.9456013,0.0002935472,0.0,415.48837,3.0
1,285.28,6.8,2795,32768.0,-0.00093654427,0.5202792,1.9439825,0.00062841433,0.0,415.61063,7.0
2,336.48,4.9,2776,49152.0,-0.002078918,0.45526674,1.9256763,0.0048834123,0.0293986,416.10373,6.0
3,372.02,4.3,2725,65536.0,-0.0032657168,0.86608666,1.8992118,0.005707951,0.03220622,416.53732,3.0
4,180.26,4.3,2833,81920.0,-0.0030684161,1.0856594,1.869655,0.004386871,0.031514484,417.0233,3.0
5,134.25,4.2,2851,98304.0,-0.0015676417,1.1808118,1.859872,0.0030299525,0.020589193,417.68494,5.0
6,125.47,5.6,2852,114688.0,-0.0023672853,1.6420366,1.8100728,0.00557434,0.048502605,418.5326,4.0
7,100.45,5.9,2583,131072.0,-0.0017501372,1.8917607,1.781933,0.0039469693,0.031188965,419.2975,7.0
8,88.41,5.0,2487,147456.0,-0.00219237,1.5318217,1.7338495,0.0070503685,0.047058105,420.21652,5.0
9,84.93,4.8,2497,163840.0,-0.0024440868,1.7397422,1.7423873,0.0033338133,0.022989908,421.31284,4.0
10,88.23,6.1,2484,180224.0,-0.002666848,1.5408658,1.7306067,0.004554336,0.03253174,422.39157,7.0
11,88.43,5.6,2643,196608.0,-0.0022415083,1.6236137,1.72308,0.00411907,0.026123047,423.4023,5.0
12,90.34,4.0,2643,212992.0,-0.0029366622,1.38948,1.6962285,0.0054877824,0.043395996,424.76895,3.0
13,72.33,4.9,2770,229376.0,-0.001974842,1.459632,1.6482075,0.00338296,0.02722168,426.2675,4.0
14,71.63,4.8,2671,245760.0,-0.002181976,1.720877,1.5665025,0.0047258907,0.042663574,427.75113,5.0
15,68.95,5.1,2528,262144.0,-0.0009901137,1.6986934,1.6097115,0.0042156223,0.03572591,429.09018,7.0
16,78.02,7.2,2406,278528.0,-0.0029294614,1.5364984,1.5559603,0.004692744,0.03257243,430.42935,8.0
17,73.9,5.1,2494,294912.0,-0.0014200917,1.4715468,1.5317329,0.002507719,0.022277832,431.69785,4.0
18,67.1,4.0,2620,311296.0,-0.0019191103,1.4672412,1.5233253,0.0031499101,0.01936849,433.04614,3.0
19,76.75,4.9,2676,327680.0,-0.002922728,1.5504279,1.4971248,0.0036538893,0.022135416,434.2405,6.0
20,65.47,4.7,2803,344064.0,-0.002460011,1.4751639,1.4921869,0.0036003545,0.02709961,435.43176,6.0
21,68.43,5.7,2584,360448.0,-0.0014825966,1.6093415,1.5092998,0.0032927766,0.019266764,436.5533,6.0
22,59.31,4.2,2441,376832.0,-0.0016389989,1.6461939,1.4247609,0.0022393877,0.013753255,437.6449,6.0
23,58.25,5.6,2437,393216.0,-0.002560019,1.5622047,1.3638171,0.003585971,0.02537028,438.63852,6.0
24,70.36,5.0,2476,409600.0,-0.0021886595,1.7370468,1.3648496,0.0024516534,0.015401204,439.5541,4.0
25,59.87,5.6,2608,425984.0,-0.0024118247,1.676282,1.3296512,0.0028167106,0.025512695,440.6622,5.0
26,68.44,6.0,2616,442368.0,-0.0016687089,1.7636809,1.3306509,0.0020660535,0.013753255,441.665,5.0
27,56.95,6.9,2689,458752.0,-0.0016891999,1.6149617,1.3284546,0.0026409489,0.02126058,442.67715,9.0
28,59.04,6.2,2478,475136.0,-0.0010456537,1.8728408,1.2808884,0.0035397436,0.02738444,443.5889,5.0
29,59.74,6.3,2472,491520.0,-0.0029739467,1.6033837,1.2401972,0.004467853,0.03540039,444.62973,6.0
30,54.44,6.8,2419,507904.0,-0.0020263991,1.9164509,1.2052974,0.0026692776,0.022583008,445.7463,7.0
31,50.66,5.0,2407,524288.0,-0.0018780502,1.9991646,1.1946334,0.0027610247,0.024332682,446.87027,4.0
32,58.35,6.0,2566,540672.0,-0.0016526273,1.8111159,1.1874998,0.0023652643,0.018330893,447.95422,6.0
33,63.39,5.6,2631,557056.0,-0.0027573332,1.7168013,1.2087202,0.0037694536,0.03938802,449.01627,7.0
34,57.56,6.2,2705,573440.0,-0.0021306637,1.6198115,1.1822418,0.003060302,0.026855469,450.05386,6.0
35,53.94,5.7,2466,589824.0,-0.001443101,1.7728094,1.1742028,0.004531946,0.056070965,451.27835,8.0
36,53.86,5.3,2433,606208.0,-0.0029118974,1.6816934,1.1921446,0.004244886,0.039042156,452.61902,4.0
37,51.1,5.9,2415,622592.0,-0.002351962,1.6646057,1.2137324,0.0032417197,0.029154459,453.89474,5.0
38,49.49,6.5,2441,638976.0,-0.0019755326,1.5624782,1.1957237,0.0027939063,0.025838217,454.94583,8.0
39,51.7,6.3,2614,655360.0,-0.002326911,1.6828228,1.1590806,0.0025282896,0.020487467,455.99814,9.0
40,51.86,6.2,2712,671744.0,-0.0022779794,1.5607351,1.1773819,0.002455409,0.016682943,456.92712,6.0
41,45.07,6.5,2583,688128.0,-0.0026589169,1.4588184,1.1836601,0.0033924049,0.033671062,457.88358,7.0
42,54.17,5.3,2439,704512.0,-0.0016197959,1.5740066,1.2140487,0.0036119067,0.039286297,459.0081,5.0
43,75.8,5.5,2415,720896.0,-0.0029027213,1.4038186,1.2369119,0.0038948758,0.032104492,460.05246,5.0
44,54.69,6.9,2465,737280.0,-0.003446411,1.672973,1.1857069,0.0035201486,0.036519367,461.26724,8.0
45,61.03,5.2,2438,753664.0,-0.0024621736,1.7498189,1.1791571,0.0024354735,0.024353027,462.29977,6.0
46,46.8,5.8,2566,770048.0,-0.0013960921,1.690893,1.1395916,0.0026881024,0.024088541,463.3162,4.0
