,eplenmean,eprew,fps,total_timesteps,policy_loss,value_loss,policy_entropy,approxkl,clipfrac,l2_loss,train_score
0,168.01,0.0,864,8192.0,-0.0017380276,0.04084899,1.9450182,0.0009192207,0.0,417.43042,0.0
1,321.4,2.7,1651,16384.0,-0.000827268,0.35371837,1.9364945,0.0015168713,0.005004883,417.54922,2.7
2,386.26,5.0,1559,24576.0,-0.0023557334,0.66872185,1.9265381,0.0024097946,0.021850586,417.8857,5.0
3,232.3,4.2,1574,32768.0,-0.0035266217,0.8924021,1.8972511,0.0047777216,0.037190754,418.35913,4.2
4,192.37,3.5,1573,40960.0,-0.0037478283,1.3647394,1.8573021,0.0052522398,0.037109375,418.92563,3.5
5,117.35,3.3,1540,49152.0,-0.0023121303,1.3323344,1.8445078,0.0047595603,0.040364582,419.5292,3.3
6,116.78,5.1,1526,57344.0,-0.0031005654,1.6259924,1.8178765,0.004086788,0.035563152,420.13892,5.1
7,99.95,4.6,1554,65536.0,-0.0028653797,1.7575198,1.7780701,0.0055070617,0.0423584,420.93054,4.6
8,81.22,4.7,1574,73728.0,-0.0021934854,1.7775804,1.7146436,0.003600533,0.024658203,421.98572,4.7
9,75.81,4.9,1566,81920.0,-0.0016289316,2.1190202,1.6341316,0.005670026,0.04264323,423.01187,4.9
10,79.97,5.0,1572,90112.0,-0.0027831849,1.8936657,1.6951032,0.005621239,0.05871582,423.9752,5.0
11,74.29,4.5,1578,98304.0,-0.00201184,1.6078271,1.7057954,0.0031136218,0.0238444,424.9407,4.5
12,81.52,4.5,1586,106496.0,-0.0027615754,1.6618263,1.592763,0.0067799627,0.07210287,426.13504,4.5
13,76.9,4.3,1572,114688.0,-0.0033336002,1.9397451,1.5696875,0.005404945,0.042317707,427.2247,4.3
14,72.85,3.8,1580,122880.0,-0.0031613065,1.6579217,1.4902902,0.0054128985,0.052124023,428.25204,3.8
15,66.01,5.6,1594,131072.0,-0.0035225877,1.9569507,1.5294865,0.0033690592,0.02290853,429.4076,5.6
16,67.77,6.0,1571,139264.0,-0.0023495953,1.8848182,1.5202743,0.0034740537,0.028971354,430.58853,6.0
17,71.95,5.1,1605,147456.0,-0.0025691253,1.7972566,1.4825486,0.0042547053,0.03096517,431.80008,5.1
18,63.2,5.7,1632,155648.0,-0.0029685795,1.735621,1.4977913,0.0034532032,0.029134115,432.82358,5.7
19,65.77,5.6,1643,163840.0,-0.0032114738,2.1312435,1.3947072,0.0039502806,0.03845215,434.0568,5.6
20,68.38,6.2,1600,172032.0,-0.0039655506,1.811017,1.4222502,0.0031885623,0.024780273,435.25723,6.2
21,73.84,5.0,1575,180224.0,-0.0015324005,1.9343634,1.4224653,0.005197333,0.04345703,436.4259,5.0
22,59.17,5.4,1552,188416.0,-0.0006940937,1.5714658,1.4169241,0.004277446,0.03902181,437.44022,5.4
23,66.05,6.0,1595,196608.0,7.2386065e-05,1.7025391,1.38598,0.003925754,0.03621419,438.41553,6.0
24,61.43,5.2,1616,204800.0,-0.0030452248,1.7425038,1.3742653,0.004695843,0.044270832,439.30222,5.2
25,65.08,5.3,1536,212992.0,-0.0026290256,1.7925524,1.3755673,0.004348819,0.028686523,440.29654,5.3
26,61.05,5.2,1577,221184.0,-0.0044849385,1.5292611,1.4006418,0.005816856,0.057942707,441.43433,5.2
27,64.38,5.3,1596,229376.0,-0.0021736848,1.5299908,1.4219629,0.004511831,0.03466797,442.63992,5.3
28,60.97,6.7,1579,237568.0,-0.00296063,1.7838293,1.4378856,0.004705165,0.041097004,443.92056,6.7
29,65.08,5.6,1590,245760.0,-0.0018992582,1.6223383,1.4051126,0.0035086807,0.024658203,444.92422,5.6
30,64.59,5.5,1598,253952.0,-0.0034951188,1.6384696,1.3523706,0.0031053654,0.021362305,445.90515,5.5
31,65.66,6.4,1556,262144.0,-0.0032780215,1.5901343,1.3351396,0.0027885884,0.020141602,446.9734,6.4
32,56.18,6.9,1639,270336.0,-0.0039414093,1.5148951,1.2716116,0.0042976504,0.041097004,448.31302,6.9
33,60.53,6.5,1568,278528.0,-0.0024701636,1.5044347,1.3499932,0.0038774393,0.033325195,449.5537,6.5
34,64.33,6.8,1523,286720.0,-0.003041302,1.6795588,1.2951127,0.003806607,0.03100586,450.78845,6.8
35,60.06,6.3,1571,294912.0,-0.0033418974,1.7644478,1.2816194,0.0033822432,0.028076172,451.83542,6.3
36,66.11,7.4,1624,303104.0,-0.00090642186,1.6138425,1.262976,0.0032212099,0.026204428,452.86258,7.4
37,52.37,4.3,1599,311296.0,-0.0049854615,1.5549951,1.2774235,0.0043794336,0.04671224,454.00906,4.3
38,54.2,6.0,1593,319488.0,-0.0018863432,1.6106372,1.2656767,0.0042837528,0.040934246,455.40744,6.0
39,51.63,5.1,1608,327680.0,-0.0028978325,1.3661963,1.2832911,0.0042287805,0.03845215,456.62585,5.1
40,67.15,5.5,1573,335872.0,-0.003936552,1.5912353,1.2833232,0.004529419,0.051513672,458.05835,5.5
41,49.03,5.0,1612,344064.0,-0.0031815562,1.526783,1.2800412,0.0035245672,0.03572591,459.29297,5.0
42,57.19,5.3,1523,352256.0,-0.0025475714,1.6554108,1.3195697,0.004586184,0.04626465,460.3663,5.3
43,57.72,4.7,1538,360448.0,-0.006323559,1.5132957,1.3864326,0.005564541,0.06591797,461.74353,4.7
44,49.21,5.5,1588,368640.0,-0.0059231534,1.7189857,1.2564363,0.0044691786,0.05102539,463.53647,5.5
45,54.15,6.0,1558,376832.0,-0.0055774874,1.6816329,1.2880851,0.005466424,0.067830406,465.0552,6.0
46,54.15,6.6,1586,385024.0,-0.005668202,1.7875018,1.2446452,0.0036356377,0.03873698,466.5383,6.6
47,63.03,5.9,1599,393216.0,-0.005140068,1.7273217,1.2890279,0.004959068,0.06131999,467.9473,5.9
48,56.83,4.6,1557,401408.0,-0.0071415384,1.6404783,1.2830752,0.005126262,0.061523438,469.4672,4.6
49,50.94,5.6,1533,409600.0,-0.0031343608,1.5743517,1.3160313,0.00471996,0.056111652,471.03445,5.6
50,52.06,6.3,1585,417792.0,-0.0042121285,1.5866508,1.3096136,0.0036146308,0.033162434,472.15918,6.3
51,59.97,5.5,1539,425984.0,-0.005780388,1.4499794,1.3219465,0.006043169,0.071126305,473.20715,5.5
52,60.36,5.7,1611,434176.0,-0.005196036,1.3935851,1.3269005,0.005658002,0.0674235,474.56192,5.7
53,60.21,5.6,1558,442368.0,-0.0051418855,1.3725867,1.3860621,0.005535074,0.06685384,475.90665,5.6
54,66.24,7.6,1601,450560.0,-0.004204125,1.2819782,1.374506,0.005775127,0.07059733,477.07443,7.6
55,71.29,5.3,1576,458752.0,-0.007182892,1.2624823,1.4095904,0.0059186444,0.07267252,478.28885,5.3
56,54.81,5.3,1608,466944.0,-0.0033795794,1.3477982,1.3966132,0.0055284346,0.06506348,479.53128,5.3
