,eplenmean,eprew,fps,total_timesteps,policy_loss,value_loss,policy_entropy,approxkl,clipfrac,l2_loss,train_score
0,158.45,1.6,1158,16384.0,-0.0002827048,0.06465475,1.9453201,0.000582033,0.0,339.32123,2.0
1,268.24,3.8,2574,32768.0,-0.00029841837,0.28553644,1.9453897,0.00014709386,0.0,197.2782,3.0
2,392.18,3.7,2728,49152.0,0.00014069327,0.32096794,1.9456006,5.9135276e-05,0.0,104.628235,3.0
3,556.93,2.7,2706,65536.0,-3.005591e-05,0.20434923,1.9457865,4.189162e-06,0.0,51.473682,3.0
4,524.43,3.0,2719,81920.0,-8.560233e-05,0.25429735,1.9457396,1.7759958e-05,0.0,23.795944,2.0
5,555.03,3.0,2809,98304.0,-0.00017179917,0.1789869,1.9455695,5.945358e-05,0.0,9.838977,2.0
6,585.93,2.8,2757,114688.0,-0.0005006036,0.2643355,1.9448227,0.00022551297,0.0,3.709756,0.0
7,522.88,3.7,2789,131072.0,-0.00087913475,0.29392657,1.9408097,0.00083074,0.0,1.5337571,2.0
8,533.58,2.4,2733,147456.0,-0.0011875419,0.28604174,1.9347059,0.0016488306,0.0,0.7186734,2.0
9,432.57,2.7,2780,163840.0,-0.0015283935,0.5580322,1.9215404,0.003355544,0.022766113,0.3905058,3.0
10,317.68,3.8,2760,180224.0,-0.0013275995,0.7389863,1.914868,0.003527302,0.031555176,0.24573205,4.0
11,212.49,4.3,2730,196608.0,-0.0019027578,1.1029353,1.8942219,0.0058037206,0.079549156,0.24047136,3.0
12,143.15,3.8,2744,212992.0,-0.0011790423,1.2073889,1.8743601,0.0045296717,0.010070801,0.21680407,5.0
13,128.2,4.0,2793,229376.0,-0.00073959277,1.306709,1.8251787,0.0030017542,0.011698405,0.24062641,6.0
14,104.05,5.9,2725,245760.0,-0.0013225853,1.6489779,1.7977809,0.0030240926,0.0,0.25204518,7.0
15,84.35,5.5,2711,262144.0,-0.0008292624,1.9593784,1.7590691,0.0061774575,0.06449381,0.25707254,8.0
16,90.15,4.7,2693,278528.0,0.0005055189,1.7288023,1.7947472,0.00670022,0.02150472,0.26898745,5.0
17,94.48,4.5,2692,294912.0,-0.0012919327,1.6117307,1.7539767,0.0041999537,0.0132039385,0.28419125,5.0
18,88.49,4.5,2596,311296.0,-0.0011236871,1.7594099,1.6937089,0.0043923403,0.026285807,0.3021598,6.0
19,78.78,4.9,2724,327680.0,-0.00088186905,1.9231781,1.6633521,0.0034313274,0.049743652,0.3192039,6.0
20,72.9,5.3,2626,344064.0,0.0003472967,2.1537821,1.6080528,0.0020277908,0.0,0.35086727,4.0
21,79.94,4.8,2680,360448.0,-0.0016349003,2.1017747,1.5471725,0.00713688,0.034891766,0.3713967,3.0
